"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","121","TC-DJ-PROD-003 - Search Products","Dummy API Tests","2026-07-29","passed","2026-07-29","Products API Tests","dummyjson/products.spec.ts","",""
"","15","TC-DJ-PROD-002 - Get a single Product","Dummy API Tests","2026-07-29","passed","2026-07-29","Products API Tests","dummyjson/products.spec.ts","",""
"","90","TC-DJ-POST-004: Search posts","Dummy API Tests","2026-07-29","passed","2026-07-29","Posts API Tests","dummyjson/posts.spec.ts","",""
"","102","Get a random quote","Dummy API Tests","2026-07-29","passed","2026-07-29","Quotes API Tests","dummyjson/quotes.spec.ts","",""
"","92","TC-DJ-RECIP-005 - Sort Recipes","Dummy API Tests","2026-07-29","passed","2026-07-29","DummyJSON Recipes API Tests","dummyjson/recipes.spec.ts","",""
"","89","TC-DJ-USER-010 - Get posts by tag","Dummy API Tests","2026-07-29","passed","2026-07-29","DummyJSON - User API Tests","dummyjson/user.spec.ts","",""
"","84","TC-DJ-AUTH-NEG_003: Login with Null Values","Dummy API Tests","2026-07-29","passed","2026-07-29","Auth API Negative Tests","negative.test.dummyjson/auth.negative.spec.ts","",""
"","87","TC-DJ-AUTH-NEG_007: Refresh Token with Invalid Token","Dummy API Tests","2026-07-29","passed","2026-07-29","Auth API Negative Tests","negative.test.dummyjson/auth.negative.spec.ts","",""
"","92","TC-DJ-POST-NEG-009: Add Post with Missing Required Fields","Dummy API Tests","2026-07-29","passed","2026-07-29","DummyJSON Posts API Negative Tests","negative.test.dummyjson/post.negative.spec.ts","",""
"","1","TC-DJ-TODO-NEG-004: Limit Todos with Invalid Limit Value","Dummy API Tests","2026-07-29","skipped","2026-07-29","DummyJSON Todos API Negative Tests","negative.test.dummyjson/todos.negative.spec.ts","",""
"","107","TC-DJ-TODO-001 - Get All Todos","Dummy API Tests","2026-07-29","passed","2026-07-29","DummyJSON Todos API Tests","dummyjson/todos.spec.ts","",""
"","94","TC-DJ-POST-NEG-004: Get Post with Negative ID","Dummy API Tests","2026-07-29","passed","2026-07-29","DummyJSON Posts API Negative Tests","negative.test.dummyjson/post.negative.spec.ts","",""
"","95","TC-DJ-TODO-005 - Add a New Todo","Dummy API Tests","2026-07-29","passed","2026-07-29","DummyJSON Todos API Tests","dummyjson/todos.spec.ts","",""
"","120","TC-DJ-USER-NEG-003: Login User with Invalid Credentials","Dummy API Tests","2026-07-29","passed","2026-07-29","DummyJSON Users API Negative Tests","negative.test.dummyjson/user.negative.spec.ts","",""
"","0","TC-DJ-POST-NEG-005: Search Posts with Empty Query","Dummy API Tests","2026-07-29","skipped","2026-07-29","DummyJSON Posts API Negative Tests","negative.test.dummyjson/post.negative.spec.ts","",""
"","91","TC-DJ-PROD-009: Update Product with Non-existent ID","Dummy API Tests","2026-07-29","passed","2026-07-29","DummyJSON Products API Negative Tests","negative.test.dummyjson/product.negative.spec.ts","",""
"","89","TC-DJ-USER-015 - Update User","Dummy API Tests","2026-07-29","passed","2026-07-29","DummyJSON - User API Tests","dummyjson/user.spec.ts","",""
"","110","TC-DJ-PROD-004 - Get Products by Category list","Dummy API Tests","2026-07-29","passed","2026-07-29","Products API Tests","dummyjson/products.spec.ts","",""
"","95","TC-DJ-CART-006: Delete a Cart","Dummy API Tests","2026-07-29","passed","2026-07-29","DummyJSON - Carts API Tests","dummyjson/carts.spec.ts","",""
"","101","TC-DJ-RECIP-001 - Get All Recipes","Dummy API Tests","2026-07-29","passed","2026-07-29","DummyJSON Recipes API Tests","dummyjson/recipes.spec.ts","",""
"","90","TC-DJ-REC-NEG-003: Get Recipe with Null ID","Dummy API Tests","2026-07-29","passed","2026-07-29","DummyJSON Recipes API Negative Tests","negative.test.dummyjson/recipes.negative.spec.ts","",""
"","0","TC-DJ-USER-NEG-006: Search Users with Invalid Query","Dummy API Tests","2026-07-29","skipped","2026-07-29","DummyJSON Users API Negative Tests","negative.test.dummyjson/user.negative.spec.ts","",""
"","90","TC-DJ-REC-NEG-001: Get Recipe with Invalid ID","Dummy API Tests","2026-07-29","passed","2026-07-29","DummyJSON Recipes API Negative Tests","negative.test.dummyjson/recipes.negative.spec.ts","",""
"","149","TC-DJ-CART-001: Get All Carts","Dummy API Tests","2026-07-29","passed","2026-07-29","DummyJSON - Carts API Tests","dummyjson/carts.spec.ts","",""
"","84","TC-DJ-AUTH-NEG_009: Access with Refresh Token as Bearer","Dummy API Tests","2026-07-29","passed","2026-07-29","Auth API Negative Tests","negative.test.dummyjson/auth.negative.spec.ts","",""
"","91","TC-DJ-TODO-NEG-001: Get Single Todo with Invalid ID","Dummy API Tests","2026-07-29","passed","2026-07-29","DummyJSON Todos API Negative Tests","negative.test.dummyjson/todos.negative.spec.ts","",""
"","341","TC-DJ-PROD-007 - Update a Product","Dummy API Tests","2026-07-29","passed","2026-07-29","Products API Tests","dummyjson/products.spec.ts","",""
"","115","TC-DJ-USER-005 - Filter user","Dummy API Tests","2026-07-29","passed","2026-07-29","DummyJSON - User API Tests","dummyjson/user.spec.ts","",""
"","0","TC-DJ-PROD-008: Add Product with Missing Required Fields","Dummy API Tests","2026-07-29","skipped","2026-07-29","DummyJSON Products API Negative Tests","negative.test.dummyjson/product.negative.spec.ts","",""
"","192","TC-DJ-PROD-007: Get Products by Non-existent Category","Dummy API Tests","2026-07-29","passed","2026-07-29","DummyJSON Products API Negative Tests","negative.test.dummyjson/product.negative.spec.ts","",""
"","105","TC-DJ-AUTH-005 - Access Protected Endpoint without Token","Dummy API Tests","2026-07-29","passed","2026-07-29","DummyJSON - Authentication API Tests","dummyjson/auth.spec.ts","",""
"","92","NEG-TC-DJ-COM-008: Update Comment with Non-existent ID","Dummy API Tests","2026-07-29","passed","2026-07-29","DummyJSON Comments API Negative Tests","negative.test.dummyjson/comment.negative.spec.ts","",""
"","301","TC-DJ-COMM-002: Get a Single Comment","Dummy API Tests","2026-07-29","passed","2026-07-29","Comments API Tests","dummyjson/comments.spec.ts","",""
"","117","TC-DJ-AUTH-NEG_008: Login with Special Characters (XSS)","Dummy API Tests","2026-07-29","passed","2026-07-29","Auth API Negative Tests","negative.test.dummyjson/auth.negative.spec.ts","",""
"","96","TC-DJ-CART-005: Update a Cart","Dummy API Tests","2026-07-29","passed","2026-07-29","DummyJSON - Carts API Tests","dummyjson/carts.spec.ts","",""
"","108","TC-DJ-USER-006 - Limit & Skip users","Dummy API Tests","2026-07-29","passed","2026-07-29","DummyJSON - User API Tests","dummyjson/user.spec.ts","",""
"","95","TC-DJ-USER-009 - Get posts tags list","Dummy API Tests","2026-07-29","passed","2026-07-29","DummyJSON - User API Tests","dummyjson/user.spec.ts","",""
"","91","TC-DJ-REC-NEG-009: Update Recipe with Non-existent ID","Dummy API Tests","2026-07-29","passed","2026-07-29","DummyJSON Recipes API Negative Tests","negative.test.dummyjson/recipes.negative.spec.ts","",""
"","107","TC-DJ-PROD-005 - Get All Products Categories","Dummy API Tests","2026-07-29","passed","2026-07-29","Products API Tests","dummyjson/products.spec.ts","",""
"","94","NEG-TC-DJ-COM-003: Get Single Comment with Null ID","Dummy API Tests","2026-07-29","passed","2026-07-29","DummyJSON Comments API Negative Tests","negative.test.dummyjson/comment.negative.spec.ts","",""
"","4546","TC-DJ-AUTH-002 - Login with Invalid Credentials","Dummy API Tests","2026-07-29","passed","2026-07-29","DummyJSON - Authentication API Tests","dummyjson/auth.spec.ts","",""
"","90","TC-DJ-PROD-003: Get Single Product with Null ID","Dummy API Tests","2026-07-29","passed","2026-07-29","DummyJSON Products API Negative Tests","negative.test.dummyjson/product.negative.spec.ts","",""
"","98","Get all quotes","Dummy API Tests","2026-07-29","passed","2026-07-29","Quotes API Tests","dummyjson/quotes.spec.ts","",""
"","273","TC-DJ-COMM-003: Limit & Skip comments","Dummy API Tests","2026-07-29","passed","2026-07-29","Comments API Tests","dummyjson/comments.spec.ts","",""
"","94","TC-DJ-POST-005: Sort posts","Dummy API Tests","2026-07-29","passed","2026-07-29","Posts API Tests","dummyjson/posts.spec.ts","",""
"","92","TC-DJ-PROD-008 - Delete a Product","Dummy API Tests","2026-07-29","passed","2026-07-29","Products API Tests","dummyjson/products.spec.ts","",""
"","95","TC-DJ-TODO-NEG-006: Add Todo with Missing Required Fields","Dummy API Tests","2026-07-29","passed","2026-07-29","DummyJSON Todos API Negative Tests","negative.test.dummyjson/todos.negative.spec.ts","",""
"","1","NEG-TC-DJ-COM-005: Get Comments by Non-existent Post ID","Dummy API Tests","2026-07-29","skipped","2026-07-29","DummyJSON Comments API Negative Tests","negative.test.dummyjson/comment.negative.spec.ts","",""
"","89","TC-DJ-QUOTE-NEG-010: Limit Quotes with Non-numeric Skip","Dummy API Tests","2026-07-29","passed","2026-07-29","DummyJSON Quotes API Negative Tests","negative.test.dummyjson/quote.negative.spec.ts","",""
"","90","TC-DJ-USER-NEG-002: Get Single User with Non-existent ID","Dummy API Tests","2026-07-29","passed","2026-07-29","DummyJSON Users API Negative Tests","negative.test.dummyjson/user.negative.spec.ts","",""
"","180","TC-DJ-USER-014 - Add User","Dummy API Tests","2026-07-29","passed","2026-07-29","DummyJSON - User API Tests","dummyjson/user.spec.ts","",""
"","92","NEG-TC-DJ-COM-006: Add Comment with Missing Required Fields","Dummy API Tests","2026-07-29","passed","2026-07-29","DummyJSON Comments API Negative Tests","negative.test.dummyjson/comment.negative.spec.ts","",""
"","100","TC-DJ-USER-007 - Sort users","Dummy API Tests","2026-07-29","passed","2026-07-29","DummyJSON - User API Tests","dummyjson/user.spec.ts","",""
"","90","TC-DJ-USER-004 - Search Users","Dummy API Tests","2026-07-29","passed","2026-07-29","DummyJSON - User API Tests","dummyjson/user.spec.ts","",""
"","91","TC-DJ-PROD-004: Get Single Product with Negative ID","Dummy API Tests","2026-07-29","passed","2026-07-29","DummyJSON Products API Negative Tests","negative.test.dummyjson/product.negative.spec.ts","",""
"","95","TC-DJ-TODO-004 - Limit & Skip todos","Dummy API Tests","2026-07-29","passed","2026-07-29","DummyJSON Todos API Tests","dummyjson/todos.spec.ts","",""
"","92","TC-DJ-TODO-NEG-002: Get Single Todo with Non-existent ID","Dummy API Tests","2026-07-29","passed","2026-07-29","DummyJSON Todos API Negative Tests","negative.test.dummyjson/todos.negative.spec.ts","",""
"","96","TC-DJ-PROD-010: Delete Product with Non-existent ID","Dummy API Tests","2026-07-29","passed","2026-07-29","DummyJSON Products API Negative Tests","negative.test.dummyjson/product.negative.spec.ts","",""
"","0","TC-DJ-QUOTE-NEG-007: Limit Quotes with Excessive Limit Value","Dummy API Tests","2026-07-29","skipped","2026-07-29","DummyJSON Quotes API Negative Tests","negative.test.dummyjson/quote.negative.spec.ts","",""
"","89","TC-DJ-REC-NEG-002: Get Recipe with Non-existent ID","Dummy API Tests","2026-07-29","passed","2026-07-29","DummyJSON Recipes API Negative Tests","negative.test.dummyjson/recipes.negative.spec.ts","",""
"","111","TC-DJ-RECIP-004 - Limit & Skip recipes","Dummy API Tests","2026-07-29","passed","2026-07-29","DummyJSON Recipes API Tests","dummyjson/recipes.spec.ts","",""
"","1","TC-DJ-CART-004: Add a new Cart","Dummy API Tests","2026-07-29","skipped","2026-07-29","DummyJSON - Carts API Tests","dummyjson/carts.spec.ts","",""
"","1","TC-DJ-AUTH-NEG_001: Login with invalid credentials","Dummy API Tests","2026-07-29","skipped","2026-07-29","Auth API Negative Tests","negative.test.dummyjson/auth.negative.spec.ts","",""
"","89","TC-DJ-AUTH-NEG_006: Access Protected Endpoint with Invalid Token","Dummy API Tests","2026-07-29","passed","2026-07-29","Auth API Negative Tests","negative.test.dummyjson/auth.negative.spec.ts","",""
"","89","TC-DJ-USER-008 - Get all posts tags","Dummy API Tests","2026-07-29","passed","2026-07-29","DummyJSON - User API Tests","dummyjson/user.spec.ts","",""
"","152","TC-DJ-USER-002 - Login User","Dummy API Tests","2026-07-29","passed","2026-07-29","DummyJSON - User API Tests","dummyjson/user.spec.ts","",""
"","91","TC-DJ-COMM-006: Update an Existing Comment","Dummy API Tests","2026-07-29","passed","2026-07-29","Comments API Tests","dummyjson/comments.spec.ts","",""
"","91","TC-DJ-PROD-002: Get Single Product with Non-existent ID","Dummy API Tests","2026-07-29","passed","2026-07-29","DummyJSON Products API Negative Tests","negative.test.dummyjson/product.negative.spec.ts","",""
"","91","TC-DJ-QUOTE-NEG-004: Get Single Quote with Negative ID","Dummy API Tests","2026-07-29","passed","2026-07-29","DummyJSON Quotes API Negative Tests","negative.test.dummyjson/quote.negative.spec.ts","",""
"","98","TC-DJ-POST-006: Get comments for a post","Dummy API Tests","2026-07-29","passed","2026-07-29","Posts API Tests","dummyjson/posts.spec.ts","",""
"","87","Get a single quote","Dummy API Tests","2026-07-29","passed","2026-07-29","Quotes API Tests","dummyjson/quotes.spec.ts","",""
"","0","TC-DJ-USER-NEG-008: Add User with Missing Required Fields","Dummy API Tests","2026-07-29","skipped","2026-07-29","DummyJSON Users API Negative Tests","negative.test.dummyjson/user.negative.spec.ts","",""
"","0","TC-DJ-PROD-005: Search Products with Empty Query","Dummy API Tests","2026-07-29","skipped","2026-07-29","DummyJSON Products API Negative Tests","negative.test.dummyjson/product.negative.spec.ts","",""
"","91","TC-DJ-TODO-NEG-003: Get Single Todo with Null ID","Dummy API Tests","2026-07-29","passed","2026-07-29","DummyJSON Todos API Negative Tests","negative.test.dummyjson/todos.negative.spec.ts","",""
"","0","TC-DJ-QUOTE-NEG-006: Limit Quotes with Invalid Skip Value","Dummy API Tests","2026-07-29","skipped","2026-07-29","DummyJSON Quotes API Negative Tests","negative.test.dummyjson/quote.negative.spec.ts","",""
"","96","TC-DJ-TODO-NEG-008: Update Todo with Non-existent ID","Dummy API Tests","2026-07-29","passed","2026-07-29","DummyJSON Todos API Negative Tests","negative.test.dummyjson/todos.negative.spec.ts","",""
"","20","TC-DJ-PROD-001 - Get All Products","Dummy API Tests","2026-07-29","passed","2026-07-29","Products API Tests","dummyjson/products.spec.ts","",""
"","82","TC-DJ-AUTH-NEG_002: Login with Empty Credentials","Dummy API Tests","2026-07-29","passed","2026-07-29","Auth API Negative Tests","negative.test.dummyjson/auth.negative.spec.ts","",""
"","101","TC-DJ-USER-012 - Get user's posts","Dummy API Tests","2026-07-29","passed","2026-07-29","DummyJSON - User API Tests","dummyjson/user.spec.ts","",""
"","88","TC-DJ-REC-NEG-007: Get Recipes by Non-existent Meal Type","Dummy API Tests","2026-07-29","passed","2026-07-29","DummyJSON Recipes API Negative Tests","negative.test.dummyjson/recipes.negative.spec.ts","",""
"","90","TC-DJ-QUOTE-NEG-009: Limit Quotes with Non-numeric Limit","Dummy API Tests","2026-07-29","passed","2026-07-29","DummyJSON Quotes API Negative Tests","negative.test.dummyjson/quote.negative.spec.ts","",""
"","83","NEG-TC-DJ-COM-002: Get Single Comment with Non-existent ID","Dummy API Tests","2026-07-29","passed","2026-07-29","DummyJSON Comments API Negative Tests","negative.test.dummyjson/comment.negative.spec.ts","",""
"","87","TC-DJ-COMM-001: Get All Comments","Dummy API Tests","2026-07-29","passed","2026-07-29","Comments API Tests","dummyjson/comments.spec.ts","",""
"","83","TC-DJ-TODO-007 - Delete a Todo","Dummy API Tests","2026-07-29","passed","2026-07-29","DummyJSON Todos API Tests","dummyjson/todos.spec.ts","",""
"","104","Limit and Skip quotes","Dummy API Tests","2026-07-29","passed","2026-07-29","Quotes API Tests","dummyjson/quotes.spec.ts","",""
"","92","TC-DJ-POST-002: Get a single Post","Dummy API Tests","2026-07-29","passed","2026-07-29","Posts API Tests","dummyjson/posts.spec.ts","",""
"","93","TC-DJ-TODO-002 - Get Single Todo","Dummy API Tests","2026-07-29","passed","2026-07-29","DummyJSON Todos API Tests","dummyjson/todos.spec.ts","",""
"","4669","TC-DJ-AUTH-004 - Get Authenticated User","Dummy API Tests","2026-07-29","passed","2026-07-29","DummyJSON - Authentication API Tests","dummyjson/auth.spec.ts","",""
"","95","TC-DJ-COMM-007: Delete a Comment","Dummy API Tests","2026-07-29","passed","2026-07-29","Comments API Tests","dummyjson/comments.spec.ts","",""
"","0","TC-DJ-USER-013 - Get user's todos","Dummy API Tests","2026-07-29","skipped","2026-07-29","DummyJSON - User API Tests","dummyjson/user.spec.ts","",""
"","97","TC-DJ-POST-007: Add a new post","Dummy API Tests","2026-07-29","passed","2026-07-29","Posts API Tests","dummyjson/posts.spec.ts","",""
"","84","TC-DJ-CART-NEG-007: Add Cart with Missing Required Fields","Dummy API Tests","2026-07-29","passed","2026-07-29","DummyJSON Carts API Negative Tests","negative.test.dummyjson/carts.negative.spec.ts","",""
"","88","TC-DJ-AUTH-NEG_005: Access Protected Endpoint Without Token","Dummy API Tests","2026-07-29","passed","2026-07-29","Auth API Negative Tests","negative.test.dummyjson/auth.negative.spec.ts","",""
"","0","TC-DJ-TODO-NEG-005: Limit Todos with Invalid Skip Value","Dummy API Tests","2026-07-29","skipped","2026-07-29","DummyJSON Todos API Negative Tests","negative.test.dummyjson/todos.negative.spec.ts","",""
"","1","TC-DJ-USER-NEG-005: Search Users with Empty Query","Dummy API Tests","2026-07-29","skipped","2026-07-29","DummyJSON Users API Negative Tests","negative.test.dummyjson/user.negative.spec.ts","",""
"","105","TC-DJ-RECIP-007 - Get All Recipes by Tag","Dummy API Tests","2026-07-29","passed","2026-07-29","DummyJSON Recipes API Tests","dummyjson/recipes.spec.ts","",""
"","98","TC-DJ-CART-NEG-010: Delete Cart with Non-existent ID","Dummy API Tests","2026-07-29","passed","2026-07-29","DummyJSON Carts API Negative Tests","negative.test.dummyjson/carts.negative.spec.ts","",""
"","87","TC-DJ-RECIP-008 - Get All Recipes by Meal","Dummy API Tests","2026-07-29","passed","2026-07-29","DummyJSON Recipes API Tests","dummyjson/recipes.spec.ts","",""
"","92","TC-DJ-QUOTE-NEG-002: Get Single Quote with Non-existent ID","Dummy API Tests","2026-07-29","passed","2026-07-29","DummyJSON Quotes API Negative Tests","negative.test.dummyjson/quote.negative.spec.ts","",""
"","103","TC-DJ-TODO-006 - Update Todo","Dummy API Tests","2026-07-29","passed","2026-07-29","DummyJSON Todos API Tests","dummyjson/todos.spec.ts","",""
"","88","TC-DJ-USER-003 - Get a single user","Dummy API Tests","2026-07-29","passed","2026-07-29","DummyJSON - User API Tests","dummyjson/user.spec.ts","",""
"","99","TC-DJ-PROD-006 - Add New Product","Dummy API Tests","2026-07-29","passed","2026-07-29","Products API Tests","dummyjson/products.spec.ts","",""
"","102","TC-DJ-CART-002: Get a single Cart","Dummy API Tests","2026-07-29","passed","2026-07-29","DummyJSON - Carts API Tests","dummyjson/carts.spec.ts","",""
"","0","TC-DJ-REC-NEG-006: Get Recipes by Non-existent Tag","Dummy API Tests","2026-07-29","skipped","2026-07-29","DummyJSON Recipes API Negative Tests","negative.test.dummyjson/recipes.negative.spec.ts","",""
"","0","TC-DJ-QUOTE-NEG-008: Limit Quotes with Zero Limit","Dummy API Tests","2026-07-29","skipped","2026-07-29","DummyJSON Quotes API Negative Tests","negative.test.dummyjson/quote.negative.spec.ts","",""
"","91","TC-DJ-PROD-001: Get Single Product with Invalid ID","Dummy API Tests","2026-07-29","passed","2026-07-29","DummyJSON Products API Negative Tests","negative.test.dummyjson/product.negative.spec.ts","",""
"","228","TC-DJ-COMM-005: Add a New Comment","Dummy API Tests","2026-07-29","passed","2026-07-29","Comments API Tests","dummyjson/comments.spec.ts","",""
"","0","TC-DJ-QUOTE-NEG-005: Limit Quotes with Invalid Limit Value","Dummy API Tests","2026-07-29","skipped","2026-07-29","DummyJSON Quotes API Negative Tests","negative.test.dummyjson/quote.negative.spec.ts","",""
"","0","NEG-TC-DJ-COM-010: Limit Comments with Invalid Limit Value","Dummy API Tests","2026-07-29","skipped","2026-07-29","DummyJSON Comments API Negative Tests","negative.test.dummyjson/comment.negative.spec.ts","",""
"","4515","TC-DJ-AUTH-003 - Access Token Generation","Dummy API Tests","2026-07-29","passed","2026-07-29","DummyJSON - Authentication API Tests","dummyjson/auth.spec.ts","",""
"","104","TC-DJ-RECIP-003 - Search Recipes","Dummy API Tests","2026-07-29","passed","2026-07-29","DummyJSON Recipes API Tests","dummyjson/recipes.spec.ts","",""
"","0","TC-DJ-TODO-NEG-010: Update Todo with Missing Required Fields","Dummy API Tests","2026-07-29","skipped","2026-07-29","DummyJSON Todos API Negative Tests","negative.test.dummyjson/todos.negative.spec.ts","",""
"","91","TC-DJ-RECIP-002 - Get Single Recipe","Dummy API Tests","2026-07-29","passed","2026-07-29","DummyJSON Recipes API Tests","dummyjson/recipes.spec.ts","",""
"","138","TC-DJ-AUTH-NEG_004: Login with SQL Injection Strings","Dummy API Tests","2026-07-29","passed","2026-07-29","Auth API Negative Tests","negative.test.dummyjson/auth.negative.spec.ts","",""
"","433","TC-DJ-CART-NEG-005: Get Carts by Invalid User ID","Dummy API Tests","2026-07-29","passed","2026-07-29","DummyJSON Carts API Negative Tests","negative.test.dummyjson/carts.negative.spec.ts","",""
"","91","TC-DJ-CART-003: Get Carts by User","Dummy API Tests","2026-07-29","passed","2026-07-29","DummyJSON - Carts API Tests","dummyjson/carts.spec.ts","",""
"","0","TC-DJ-PROD-006: Search Products with SQL Injection","Dummy API Tests","2026-07-29","skipped","2026-07-29","DummyJSON Products API Negative Tests","negative.test.dummyjson/product.negative.spec.ts","",""
"","91","TC-DJ-POST-008: Update a post","Dummy API Tests","2026-07-29","passed","2026-07-29","Posts API Tests","dummyjson/posts.spec.ts","",""
"","89","TC-DJ-RECIP-009 - Add Recipe","Dummy API Tests","2026-07-29","passed","2026-07-29","DummyJSON Recipes API Tests","dummyjson/recipes.spec.ts","",""
"","91","TC-DJ-QUOTE-NEG-003: Get Single Quote with Null ID","Dummy API Tests","2026-07-29","passed","2026-07-29","DummyJSON Quotes API Negative Tests","negative.test.dummyjson/quote.negative.spec.ts","",""
"","90","TC-DJ-USER-NEG-010: Delete User with Non-existent ID","Dummy API Tests","2026-07-29","passed","2026-07-29","DummyJSON Users API Negative Tests","negative.test.dummyjson/user.negative.spec.ts","",""
"","81","TC-DJ-CART-NEG-006: Get Carts by Non-existent User","Dummy API Tests","2026-07-29","passed","2026-07-29","DummyJSON Carts API Negative Tests","negative.test.dummyjson/carts.negative.spec.ts","",""
"","2","NEG-TC-DJ-COM-004: Get Comments by Invalid Post ID","Dummy API Tests","2026-07-29","skipped","2026-07-29","DummyJSON Comments API Negative Tests","negative.test.dummyjson/comment.negative.spec.ts","",""
"","334","TC-DJ-COMM-004: Get Comments by Post ID","Dummy API Tests","2026-07-29","passed","2026-07-29","Comments API Tests","dummyjson/comments.spec.ts","",""
"","89","TC-DJ-POST-005: Get posts by user id","Dummy API Tests","2026-07-29","passed","2026-07-29","Posts API Tests","dummyjson/posts.spec.ts","",""
"","81","TC-DJ-CART-NEG-008: Add Cart with Invalid Product ID","Dummy API Tests","2026-07-29","passed","2026-07-29","DummyJSON Carts API Negative Tests","negative.test.dummyjson/carts.negative.spec.ts","",""
"","98","TC-DJ-TODO-003 - Get Random Todo","Dummy API Tests","2026-07-29","passed","2026-07-29","DummyJSON Todos API Tests","dummyjson/todos.spec.ts","",""
"","92","TC-DJ-POST-NEG-001: Get Post with Invalid ID","Dummy API Tests","2026-07-29","passed","2026-07-29","DummyJSON Posts API Negative Tests","negative.test.dummyjson/post.negative.spec.ts","",""
"","1","TC-DJ-USER-NEG-007: Filter Users with Invalid Parameter","Dummy API Tests","2026-07-29","skipped","2026-07-29","DummyJSON Users API Negative Tests","negative.test.dummyjson/user.negative.spec.ts","",""
"","90","TC-DJ-USER-NEG-004: Login User with Empty Credentials","Dummy API Tests","2026-07-29","passed","2026-07-29","DummyJSON Users API Negative Tests","negative.test.dummyjson/user.negative.spec.ts","",""
"","83","TC-DJ-CART-NEG-009: Update Cart with Non-existent ID","Dummy API Tests","2026-07-29","passed","2026-07-29","DummyJSON Carts API Negative Tests","negative.test.dummyjson/carts.negative.spec.ts","",""
"","93","TC-DJ-TODO-NEG-007: Add Todo with Invalid User ID","Dummy API Tests","2026-07-29","passed","2026-07-29","DummyJSON Todos API Negative Tests","negative.test.dummyjson/todos.negative.spec.ts","",""
"","0","TC-DJ-CART-NEG-004: Get Cart with Negative ID","Dummy API Tests","2026-07-29","skipped","2026-07-29","DummyJSON Carts API Negative Tests","negative.test.dummyjson/carts.negative.spec.ts","",""
"","92","TC-DJ-QUOTE-NEG-001: Get Single Quote with Invalid ID","Dummy API Tests","2026-07-29","passed","2026-07-29","DummyJSON Quotes API Negative Tests","negative.test.dummyjson/quote.negative.spec.ts","",""
"","93","TC-DJ-USER-NEG-009: Update User with Non-existent ID","Dummy API Tests","2026-07-29","passed","2026-07-29","DummyJSON Users API Negative Tests","negative.test.dummyjson/user.negative.spec.ts","",""
"","97","TC-DJ-RECIP-006 - Get All Recipe Tags","Dummy API Tests","2026-07-29","passed","2026-07-29","DummyJSON Recipes API Tests","dummyjson/recipes.spec.ts","",""
